"","Date","Open","High","Low","Close","Volume"
"1",2014-08-01,2194.169922,2218.789062,2184.641113,2185.302979,191500
"2",2014-08-04,2190.035889,2224.068115,2186.916992,2223.331055,174100
"3",2014-08-05,2224.63208,2226.837891,2206.850098,2219.945068,175400
"4",2014-08-06,2212.00293,2223.893066,2192.99292,2217.465088,177700
"5",2014-08-07,2216.658936,2220.568115,2185.762939,2187.668945,175200
"6",2014-08-08,2188.708984,2199.577881,2180.596924,2194.425049,135200
"7",2014-08-11,2199.433105,2225.960938,2198.313965,2224.654053,150600
"8",2014-08-12,2222.696045,2222.979004,2210,2221.594971,154800
"9",2014-08-13,2223.051025,2230.990967,2202.443115,2222.876953,178100
"10",2014-08-14,2221.541016,2230.894043,2204.384033,2206.466064,170100
"11",2014-08-15,2207.226074,2230.87207,2203.241943,2226.733887,150000
"12",2014-08-18,2229.803955,2242.034912,2228.134033,2239.466064,163900
"13",2014-08-19,2242.340088,2246.016113,2227.925049,2245.330078,177700
"14",2014-08-20,2241.664062,2248.938965,2233.89209,2240.210938,167700
"15",2014-08-21,2239.568115,2240.076904,2211.629883,2230.458008,165700
"16",2014-08-22,2228.974121,2243.302979,2225.26709,2240.812012,160100
"17",2014-08-25,2241.100098,2241.552979,2222.009033,2229.273926,162100
"18",2014-08-26,2225.291016,2232.784912,2200.61792,2207.105957,163500
"19",2014-08-27,2207.030029,2216.669922,2204.048096,2209.465088,120900
"20",2014-08-28,2210.483887,2219.4729,2194.861084,2195.818115,124200
"21",2014-08-29,2198.946045,2218.696045,2193.262939,2217.199951,105200
"22",2014-09-01,2220.128906,2236.285889,2217.685059,2235.510986,129200
"23",2014-09-02,2239.684082,2267.509033,2234.37793,2266.045898,192100
"24",2014-09-03,2268.39502,2290.547119,2268.100098,2288.626953,212500
"25",2014-09-04,2290.029053,2307.700928,2283.2771,2306.862061,199500
"26",2014-09-05,2311.304932,2327.556885,2307.447021,2326.431885,213200
"27",2014-09-09,2328.426025,2331.916992,2315.894043,2326.5271,197000
"28",2014-09-10,2318.496094,2321.907959,2306.420898,2318.304932,189800
"29",2014-09-11,2315.731934,2343.594971,2304.602051,2311.678955,222200
"30",2014-09-12,2308.345947,2331.949951,2302.774902,2331.949951,193500
"31",2014-09-15,2330.187012,2340.448975,2321.593018,2339.139893,215100
"32",2014-09-16,2341.0271,2347.935059,2293.868896,2296.554932,302700
"33",2014-09-17,2298.981934,2309.048096,2282.794922,2307.893066,210800
"34",2014-09-18,2303.850098,2319.875,2297.930908,2315.927979,189100
"35",2014-09-19,2312.983887,2331.561035,2305.51709,2329.450928,174600
"36",2014-09-22,2323.553955,2323.553955,2284.37793,2289.865967,175800
"37",2014-09-23,2289.091064,2311.524902,2289.023926,2309.718018,156900
"38",2014-09-24,2302.230957,2345.74707,2297.875977,2343.574951,222500
"39",2014-09-25,2352.86499,2365.154053,2336.804932,2345.103027,225700
"40",2014-09-26,2339.288086,2350.108887,2329.955078,2347.718018,174700
"41",2014-09-29,2353.708008,2363.059082,2346.579102,2357.710938,200100
"42",2014-09-30,2361.318115,2365.490967,2354.268066,2363.870117,193900
"43",2014-10-08,2368.575928,2382.793945,2354.290039,2382.793945,204400
"44",2014-10-09,2383.858887,2391.3479,2367.111084,2389.371094,235900
"45",2014-10-10,2380.754883,2386.2771,2365.074951,2374.540039,224700
"46",2014-10-13,2366.426025,2366.862061,2341.124023,2366.009033,200900
"47",2014-10-14,2362.802002,2380.514893,2349.194092,2359.475098,196800
"48",2014-10-15,2358.23291,2374.808105,2344.373047,2373.669922,202800
"49",2014-10-16,2361.129883,2389.675049,2353.406006,2356.499023,248200
"50",2014-10-17,2352.783936,2360.596924,2312.825928,2341.184082,212300
"51",2014-10-20,2346.052002,2357.509033,2340.458984,2356.728027,160000
"52",2014-10-21,2355.032959,2361.653076,2337.551025,2339.656982,168800
"53",2014-10-22,2339.2229,2352.124023,2324.590088,2326.552979,152700
"54",2014-10-23,2322.315918,2329.927002,2297.330078,2302.417969,162600
"55",2014-10-24,2303.080078,2314.875,2296.656982,2302.280029,132200
"56",2014-10-27,2293.572998,2293.644043,2279.835938,2290.437012,130300
"57",2014-10-28,2294.011963,2338.278076,2294.011963,2337.871094,178600
"58",2014-10-29,2343.719971,2381.643066,2339.711914,2373.030029,265600
"59",2014-10-30,2371.891113,2397.256104,2365.918945,2391.075928,294600
"60",2014-10-31,2393.177979,2423.595947,2384.48291,2420.177979,325800
"61",2014-11-03,2425.225098,2436.784912,2418.166992,2430.970947,298800
"62",2014-11-04,2428.270996,2435.2229,2417.220947,2430.737061,309000
"63",2014-11-05,2432.168945,2434.363037,2415.501953,2420.395996,263600
"64",2014-11-06,2419.616943,2426.889893,2401.75,2425.809082,222000
"65",2014-11-07,2427.897949,2454.423096,2407.441895,2419.145996,291200
"66",2014-11-10,2436.62793,2474.156006,2428.185059,2473.183105,300600
"67",2014-11-11,2483.647949,2508.623047,2445.959961,2470.594971,411900
"68",2014-11-12,2454.602051,2494.916992,2444.813965,2494.275879,252900
"69",2014-11-13,2494.998047,2507.74292,2471.406982,2486.669922,295000
"70",2014-11-14,2477.966064,2481.024902,2457.044922,2479.185059,220600
"71",2014-11-17,2506.864014,2508.76709,2472.446045,2475.120117,215700
"72",2014-11-18,2474.181885,2477.052002,2449.812988,2457.529053,201100
"73",2014-11-19,2452.149902,2461.490967,2442.709961,2451.166992,186200
"74",2014-11-20,2443.275879,2458.319092,2437.476074,2452.616943,165500
