Trddt	Retindex
2009-01-05	0.032904
2009-01-06	0.030004000000000003
2009-01-07	-0.00678
2009-01-08	-0.023821000000000002
2009-01-09	0.014205
2009-01-12	-0.00237
2009-01-13	-0.019459999999999998
2009-01-14	0.035151999999999996
2009-01-15	-0.004490999999999999
2009-01-16	0.017827000000000003
2009-01-19	0.016493
2009-01-20	0.003742
2009-01-21	-0.0045590000000000006
2009-01-22	0.010043
2009-01-23	-0.007129000000000001
2009-02-02	0.010562
2009-02-03	0.024419999999999997
2009-02-04	0.022778
2009-02-05	-0.0046170000000000004
2009-02-06	0.039666
2009-02-09	0.019931
2009-02-10	0.018181
2009-02-11	-0.001916
2009-02-12	-0.00563
2009-02-13	0.032339
2009-02-16	0.029557
2009-02-17	-0.029274
2009-02-18	-0.047244
2009-02-19	0.007812
2009-02-20	0.015425
2009-02-23	0.019589
2009-02-24	-0.045591
2009-02-25	0.0026899999999999997
2009-02-26	-0.038668
2009-02-27	-0.018102
2009-03-02	0.0050869999999999995
2009-03-03	-0.010517
2009-03-04	0.06115399999999999
2009-03-05	0.010449
2009-03-06	-0.012638
2009-03-09	-0.033862
2009-03-10	0.018793999999999998
2009-03-11	-0.009054000000000001
2009-03-12	-0.002405
2009-03-13	-0.002359
2009-03-16	0.011482
2009-03-17	0.030202999999999997
2009-03-18	0.002434
2009-03-19	0.018903
2009-03-20	0.006765
2009-03-23	0.019461000000000003
2009-03-24	0.005564
2009-03-25	-0.020041
2009-03-26	0.030612
2009-03-27	0.005392
2009-03-30	-0.006906
2009-03-31	0.006435
2009-04-01	0.014665000000000001
2009-04-02	0.007174
2009-04-03	-0.002273
2009-04-07	0.008019
2009-04-08	-0.037634
2009-04-09	0.013841
2009-04-10	0.027038999999999997
2009-04-13	0.028424
2009-04-14	0.005363000000000001
2009-04-15	0.003512
2009-04-16	-0.000758
2009-04-17	-0.011917
2009-04-20	0.021375
2009-04-21	-0.008457
2009-04-22	-0.029372000000000002
2009-04-23	0.00106
2009-04-24	-0.006233
2009-04-27	-0.017662
2009-04-28	-0.001626
2009-04-29	0.027798000000000003
2009-04-30	0.0037990000000000003
2009-05-04	0.033235
2009-05-05	0.0029010000000000004
2009-05-06	0.009809
2009-05-07	0.0019
2009-05-08	0.010856000000000001
2009-05-11	-0.017481
2009-05-12	0.014894999999999999
2009-05-13	0.017414
2009-05-14	-0.008964
2009-05-15	0.002036
2009-05-18	0.002841
2009-05-19	0.009011
2009-05-20	-0.00944
2009-05-21	-0.015385
2009-05-22	-0.004988
2009-05-25	0.004777
2009-05-26	-0.008213
2009-05-27	0.01403
2009-06-01	0.036719999999999996
2009-06-02	0.001111
2009-06-03	0.019927
2009-06-04	-0.004083
2009-06-05	-0.004825
2009-06-08	0.0052450000000000005
2009-06-09	0.007062000000000001
2009-06-10	0.010173
2009-06-11	-0.0067209999999999995
2009-06-12	-0.019146
2009-06-15	0.016687999999999998
2009-06-16	-0.004849
2009-06-17	0.012284
2009-06-18	0.015578999999999999
2009-06-19	0.009317
2009-06-22	0.005489
2009-06-23	-0.001245
2009-06-24	0.010232999999999999
2009-06-25	0.0009400000000000001
2009-06-26	0.001082
2009-06-29	0.016086000000000003
2009-06-30	-0.005361
2009-07-01	0.016486
2009-07-02	0.017321
2009-07-03	0.009186
2009-07-06	0.011754
2009-07-07	-0.011271
2009-07-08	-0.0028079999999999997
2009-07-09	0.013718000000000001
2009-07-10	-0.002915
2009-07-13	-0.010718
2009-07-14	0.020971
2009-07-15	0.013797
2009-07-16	-0.001508
2009-07-17	0.001884
2009-07-20	0.024196000000000002
2009-07-21	-0.016442
2009-07-22	0.025958
2009-07-23	0.009669
2009-07-24	0.013253000000000001
2009-07-27	0.018563999999999997
2009-07-28	0.0009199999999999999
2009-07-29	-0.050006
2009-07-30	0.016877
2009-07-31	0.027247000000000004
2009-08-03	0.014809000000000001
2009-08-04	0.0025559999999999997
2009-08-05	-0.01237
2009-08-06	-0.02105
2009-08-07	-0.028495
2009-08-10	-0.0033520000000000004
2009-08-11	0.004605
2009-08-12	-0.046560000000000004
2009-08-13	0.008944
2009-08-14	-0.0298
2009-08-17	-0.057875
2009-08-18	0.014022999999999999
2009-08-19	-0.043045
2009-08-20	0.045232
2009-08-21	0.016894
2009-08-24	0.01103
2009-08-25	-0.025932
2009-08-26	0.017763
2009-08-27	-0.007144
2009-08-28	-0.029089
2009-08-31	-0.067446
2009-09-01	0.00599
2009-09-02	0.011644
